Address,Label
1134 PYRAMID DR,S18040152
3178 LAVON DR,C18013152
3178 LAVON DR,C18013257
3005 APPLE VALLEY DR,N18213869
1601 AXE DR,S18042026
3321 KNIGHTS HAVEN LN,S18041783
3321 KNIGHTS HAVEN LN,S18041783
4102 STONECASTLE DR,N18218122
2110 MILLAY BLVD,C18010324
2914 MEADOW PARK DR,N18221859
2902 MEADOW PARK DR,S18041873
2902 MEADOW PARK DR,S18040092
2216 KNIGHTHOOD LN,N18217912
3417 BROOK GLEN DR,N18220629
4009 BROKEN BOW LN,N18218077
2809 HARPERS FERRY LN,N18218173
1333 BELT LINE RD,C18009075
2013 SWORD DR,N18218198
2101 SWORD DR,N18218203
2914 CARNABY LN,N18220527
1702 MERRIMAC TRL,N18222129
1702 MERRIMAC TRL,N18214099
2009 S GARLAND AVE,C18010455
2005 S GARLAND AVE,C18009897
2005 S GARLAND AVE,C18009897
133 W AVENUE B,C18010500
133 W AVENUE B,C18010500
3106 RIPPLEWOOD DR,S17040363
4113 HERALD DR,N18218002
4113 HERALD DR,N18218002
2317 MCINTOSH DR,N18216604
2317 MCINTOSH DR,N18216604
2802 GREEN OAKS DR,N18222277
2802 GREEN OAKS DR,N18222675
2802 GREEN OAKS DR,N18222676
2802 GREEN OAKS DR,N18222677
2802 GREEN OAKS DR,N18223405
4001 ARROWCREST LN,N18217969
3129 PINEWOOD DR,N18227583
122 SUNFLOWER DR,N18223364
2822 DONALD DR,N18223005
2822 DONALD DR,N18223005
2818 DONALD DR,N18223003
4702 SPRUCEWOOD LN,S18043059
2313 SWORD DR,N18218229
475 W OATES RD,C18010387
1417 CRANFORD DR,C18010323
1417 CRANFORD DR,C18010323
3133 SATURN RD,C18010315
3133 SATURN RD,C18010315
3021 DONALD DR,N18223033
3017 DONALD DR,N18223031
4902 N GEORGE BUSH HWY,C18010538
2718 ROYALTY DR,N18218792
312 BRYAN DR,N18216562
312 BRYAN DR,N18216562
312 BRYAN DR,N18216562
1302 N SHILOH RD,M18003422
1505 RANDOLPH DR,N18219034
1509 RANDOLPH DR,S18041336
1510 RANDOLPH DR,N18219036
1710 RANDOLPH DR,N18219060
909 CARDIGAN ST,S18039169
2518 GRASMERE ST,N18218927
801 W BUCKINGHAM RD,C18010765
2829 DONALD DR,N18215606
2909 RILLA DR,N18222632
111 N BERNICE DR,N18218982
1560 S FIRST ST,C18010328
3302 IVANHOE LN,N18221228
2610 CENTAURUS DR,S18039171
6134 CLEAR CREEK DR,N18221329
3305 JANWOOD LN,S18043052
3025 HONEYSUCKLE DR,S18041910
3025 HONEYSUCKLE DR,S18041910
2702 HOLY CROSS LN,N18219871
6101 HIDDEN SPRINGS LN,N18221299
6209 HIDDEN SPRINGS LN,N18221305
2926 DONALD DR,N18223022
606 HENDERSON CIR,S18040851
5413 KIRKRIDGE PL,N18220286
2917 APOLLO RD,N18228495
1376 ELMHURST DR,S18041324
2318 PHOENIX DR,N18206395
5606 GALAXIE RD,S18041288
5610 GALAXIE RD,N18218659
1001 DELMAR DR,N18222959
1001 DELMAR DR,N18222959
1001 DELMAR DR,N18222959
1001 DELMAR DR,N18222959
6109 BAY ISLAND DR,M18003454
2113 CAMDEN DR,N18229456
2113 CAMDEN DR,N18229456
2525 ROYALTY DR,N18218774
2505 ROYALTY DR,N18218765
3513 SUMMIT LN,N18229789
3513 SUMMIT LN,N18223669
5513 PIKE PL,N18219979
2909 CARNABY LN,S18041633
5509 EXCALIBUR DR,N18223494
3338 BROOK GLEN DR,N18220620
2201 S GARLAND AVE,C18009850
2201 S GARLAND AVE,C18009850
2201 S GARLAND AVE,C18009850
2201 S GARLAND AVE,C18009850
3310 BROOK GLEN DR,N18213164
3302 BROOK GLEN DR,N18217541
2829 LANCER LN,N18220502
2921 LANCER LN,N18220512
5005 ROUNDTABLE LN,N18220575
3338 SHIELD LN,N18221495
513 HENDERSON CIR,S18040854
513 HENDERSON CIR,S18041899
2705 IVANRIDGE LN,N18218863
2709 IVANRIDGE LN,N18218864
2709 IVANRIDGE LN,N18218864
2709 IVANRIDGE LN,N18223983
2613 ROYALTY DR,N18218781
2613 ROYALTY DR,N18218781
3001 BLUE RIDGE LN,N18219855
3018 CASTLE ROCK LN,N18220768
3318 SHIELD LN,N18221491
2202 PHOENIX DR,N18229838
2825 ST GEORGE DR,N18220143
2825 ST GEORGE DR,N18220143
2821 ST GEORGE DR,N18220142
5410 WYRICK LN,N18218827
2630 CHURCHILL WY,N18219915
1413 W BUCKINGHAM RD,C18013516
1413 W BUCKINGHAM RD,C18010585
1917 NORTHLAKE DR,N18204493
5401 JESTER DR,N18217728
3434 CROSSBOW LN,N18217714
1029 MISTY WY,N18208986
3925 CLASSIC DR,N18218989
1301 WOODLAND PARK DR,N18228036
2406 ROCHDALE ST,S18042763
5717 JESTER DR,N18220733
2913 BIG BEN LN,N18220560
2913 BIG BEN LN,N18220560
3405 IVANHOE LN,S18041771
3434 IVANHOE LN,N18221248
358 VALLEY PARK DR,S18042257
5434 ROUND ROCK RD,S18041660
5438 ROUND ROCK RD,N18220682
2143 MCINTOSH DR,N18210336
2143 MCINTOSH DR,N18210336
2135 MCINTOSH DR,N18216606
2135 MCINTOSH DR,N18216606
2125 MCINTOSH DR,S18041035
2125 MCINTOSH DR,S18041035
2510 ROYALTY DR,N18218768
2605 CHARIOT LN,N18220178
5806 GALAXIE RD,N18218673
2517 CROWN CIR,N18220216
2933 BROOK CREST DR,N18221831
2902 ANATOLE CT,N18218156
2609 ST GEORGE DR,S18041564
2210 SWORD DR,N18218222
4017 ARROWCREST LN,N18217975
4017 ARROWCREST LN,N18217975
4017 ARROWCREST LN,N18217975
4017 ARROWCREST LN,N18228943
4017 ARROWCREST LN,N18228943
2918 CHARIOT LN,N18220210
1125 GENEVA CT,N18218894
1325 WEST PARK DR,N18228007
1325 WEST PARK DR,N18228007
2201 SYLVAN DR,N18225876
3921 NORMA DR,N18218994
3921 NORMA DR,N18215564
1118 CURTIS DR,N18229790
618 THORNHILL LN,S18041982
1821 OLD MILL RUN,C18010776
3009 INNSBROOK DR,N18210818
915 MAIN ST,C18010485
925 MAIN ST,C18010484
906 STATE HIGHWAY 66 HWY,C18013153
906 STATE HIGHWAY 66 HWY,C18013153
906 RICHARD DR,N18222678
913 GLYNN DR,N18222750
1310 CURTIS DR,S18043614
901 GLYNN DR,N18222752
901 GLYNN DR,N18222752
1014 RICHARD DR,N18222684
1410 MONTERREY DR,N18223668
4005 BROADWAY BLVD,C18010296
"2nd Warning""",
421 GATEWOOD RD,M18003401
1114 RICHARD DR,N18222689
401 CARVER ST,S18040833
524 HENDERSON CIR,N18216172
1118 RICHARD DR,S18042034
1135 HICKORY TRL,N18221875
1127 HICKORY TRL,N18223488
1026 CHERRYWOOD DR,S18042182
1110 HICKORY TRL,N18229802
1110 HICKORY TRL,N18229801
1138 HICKORY TRL,N18223490
1101 CURTIS DR,N18223492
1101 CURTIS DR,N18223492
1105 CURTIS DR,N18223493
1105 CURTIS DR,N18226189
112 W STATE ST,S18041025
112 W STATE ST,S18041025
112 W STATE ST,S18041025
112 W STATE ST,S18041025
103 S FIRST ST,C18012159
2714 W KINGSLEY RD,C18010549
2714 W KINGSLEY RD,C18010549
2714 W KINGSLEY RD,C18013256
2714 W KINGSLEY RD,C18013256
2714 W KINGSLEY RD,C18013256
2720 INDUSTRIAL LN,C18010233
2720 INDUSTRIAL LN,C18010233
2720 INDUSTRIAL LN,C18010233
2622 INDUSTRIAL LN,C18010232
2622 INDUSTRIAL LN,C18010232
2622 INDUSTRIAL LN,C18010232
2622 INDUSTRIAL LN,C18010232
2614 INDUSTRIAL LN,C18010235
1109 CURTIS DR,N18226190
1109 CURTIS DR,N18226190
2602 GRASMERE ST,N18218931
1833 MILL POND RD,S18040225
3105 S COUNTRY CLUB RD,N18217777
3105 S COUNTRY CLUB RD,N18217777
401 WILDBRIAR DR,N18222464
"thank you""",
1709 BELT LINE RD,C18009083
2215 BELT LINE RD,C18009094
5502 HIDALGO CT,N18222366
1230 BRIAR HOLLOW LN,N18214159
309 BELLMEADE DR,N18202552
1409 CARRIAGE LN,S18041198
1002 MARION DR,M18003424
1004 W AVENUE E,N18216877
3338 BROADWAY BLVD,C18010319
906 GLYNN DR,N18222751
906 GLYNN DR,N18222751
407 MEADOWHILL DR,S18040093
2708 NATIONAL DR,C18009835
2708 NATIONAL DR,C18009835
2708 NATIONAL DR,C18009835
1006 SUSAN DR,S18042069
1518 W BUCKINGHAM RD,C18010627
1518 W BUCKINGHAM RD,C18013521
1709 N GARLAND AVE,C18013515
1709 N GARLAND AVE,C18013515
1709 N GARLAND AVE,C18013515
409 MEADOWHILL DR,S18040094
423 MEADOWHILL DR,N18156700
5405 HIDALGO CT,S18039595
1610 W BUCKINGHAM RD,C18010635
1610 W BUCKINGHAM RD,C18010635
1610 W BUCKINGHAM RD,C18010635
4214 BLUE CREEK DR,S18039163
1030 SUSAN DR,N18222798
1030 SUSAN DR,N18222798
305 WILDBRIAR DR,N18222114
1564 W BUCKINGHAM RD,C18013522
1564 W BUCKINGHAM RD,C18013522
1564 W BUCKINGHAM RD,C18013522
405 WOODMERE DR,N18216891
406 RUSTIC RIDGE DR,N18203078
438 CLEARFIELD DR,N17211830
502 SAN PEDRO DR,N17204677
141 W AVENUE F,N18216805
402 QUINTANA DR,N17204725
402 QUINTANA DR,N17204725
402 QUINTANA DR,N17204725
329 BROOKVIEW DR,S18038369
5022 DURANGO DR,N18118202
5022 DURANGO DR,N18118202
5022 DURANGO DR,N18118202
5022 DURANGO DR,N18118202
5022 DURANGO DR,N18118202
5022 DURANGO DR,N18118202
5022 DURANGO DR,N18118202
please get a permit 972-205-2300 for accessory building,
"replace all rotted/falling apart siding/scrape and paint""",
5022 DURANGO DR,N18118202
"roof needs to be replaced""",
3705 BERRYWOOD CIR,N18223403
1125 MILL BRANCH DR,S18040095
2117 HIGH SUMMIT DR,N18222367
1102 GARDENGATE CIR,N18217079
602 E CELESTE DR,N18223630
509 E MONICA DR,N18218580
5429 LA JOLLA DR,S17036923
517 E MONICA DR,N18223237
1146 GARDENGATE CIR,S18041122
1146 GARDENGATE CIR,S18041122
601 GRANADA DR,N18222297
601 GRANADA DR,N18222297
601 GRANADA DR,N18222297
4919 WILLOWHAVEN CIR,N17224499
4919 WILLOWHAVEN CIR,N17224499
1707 PARK CIR,N18229431
1707 PARK CIR,N18229431
329 QUINTANA DR,N18212299
1005 W AVENUE E,S18039159
305 E CELESTE DR,S18042302
1461 SHOREHAVEN DR,S18041981
602 BARCELONA PL,N18223402
4209 MARTINDALE DR,S18041465
4209 MARTINDALE DR,S18041465
1441 SHOREHAVEN DR,S18040224
1318 WHITEOAK DR,S17041457
806 E RIDGEWOOD DR,N18216011
314 E CELESTE DR,N18223614
4518 LAKEWAY DR,N18199474
1714 MERIDIAN WY,S18037713
1714 MERIDIAN WY,S18037713
909 EDGEFIELD DR,N18223216
909 EDGEFIELD DR,N18223216
909 EDGEFIELD DR,N18223216
909 EDGEFIELD DR,N18223216
3301 W BUCKINGHAM RD,C18010547
1425 STONY BROOK LN,S18040523
1425 STONY BROOK LN,S18040523
856 CROCKETT ST,S18039335
1125 GARDENGATE CIR,S18041121
1121 GARDENGATE CIR,N18217087
1121 GARDENGATE CIR,N18217087
5602 SADDLEBACK RD,S18040161
526 SAN PEDRO DR,N17204687
526 SAN PEDRO DR,N17204687
2010 CRANFORD DR,M18003639
2010 CRANFORD DR,M18003639
637 BROADWAY COMMONS,M18003490
637 BROADWAY COMMONS,M18003490
1013 GOLDENROD DR,N18203602
415 QUINTANA DR,N17204775
2605 PRINCEWOOD DR,N18205784
1429 CURTIS DR,N18199985
817 LAVISTA DR,N18222218
1602 S FIRST ST,C18012161
6122 BROADWAY BLVD,C18010934
3432 W BUCKINGHAM RD,C18010773
2433 CARDINAL LN,S18039170
2910 KINGSWOOD DR,N18205740
1001 S FIFTH ST,N18199777
1001 S FIFTH ST,N18199777
1001 S FIFTH ST,N18199777
613 DONALD DR,N18223052
1230 PHOEBE LN,N18204333
513 DONALD DR,S18042164
1101 HAVENCREST CT,N18222746
1101 HAVENCREST CT,N18222746
610 CALVIN DR,S18042188
618 DONALD DR,S18042166
702 DONALD DR,S18042167
1126 MONTCLAIR DR,N18216435
1906 DANBURY DR,S18039336
1421 BAY SHORE DR,N18229831
626 E CELESTE DR,N18223639
2605 ROCHDALE ST,N18225940
2605 ROCHDALE ST,N18225940
2605 ROCHDALE ST,N18225940
4501 CHAHA RD,M18003390
505 E MONICA DR,S18041921
1810 BURKE DR,N18222140
309 E VISTA DR,N18227210
505 MCLEMORE DR,N18216234
821 JUNE DR,N18211656
821 JUNE DR,N18211656
825 JUNE DR,N18222338
1613 CURTIS DR,S18041884
1102 MONTCLAIR DR,S18040947
702 E VISTA DR,S18040241
1617 MERIDIAN WY,S18040693
2730 DUKESWOOD DR,S18038756
2730 DUKESWOOD DR,S18038756
4610 SATURN RD,M18003617
623 E CELESTE DR,S18042311
1226 TANAGER LN,N18204306
1226 TANAGER LN,N18204306
2825 KINGSWOOD DR,N18205725
905 BEVERLY DR,N18222164
817 BEVERLY DR,N18222165
617 MORRIS DR,N18216608
613 MORRIS DR,N18216609
1418 MORRISON PL,N18222409
1412 MORRISON PL,S18040123
610 OXFORD PK,N17210158
610 OXFORD PK,N17210158
610 OXFORD PK,N17210158
526 OXFORD PK,N17210146
914 MONTCLAIR DR,N18216450
5414 LAREDO LN,N18215880
718 PEACH TREE LN,N18218887
1514 BOSQUE DR,S18039167
1718 BURKE DR,N18222162
1710 BURKE DR,N18222161
705 MORRIS DR,N18227977
705 MORRIS DR,N18227977
409 E MONICA DR,S18042211
2014 N JUPITER RD,C18013196
2014 N JUPITER RD,C18013196
1233 STATE HIGHWAY 66 HWY,C18010542
4609 CONCORD DR,N18223741
1922 DELMAR DR,S18039342
1606 GLENVILLE DR,N18223932
1610 GLENVILLE DR,N18223934
1501 GLENVILLE DR,N18223923
1505 GLENVILLE DR,N18223925
4522 BETHANY DR,N18223802
4518 BETHANY DR,N18223800
1536 LAURA DR,C18010327
1536 LAURA DR,C18010327
1536 LAURA DR,C18010327
609 WOODCASTLE DR,N18215810
721 WOODCASTLE DR,S18041084
4506 HUNTINGTON DR,N18223870
1413 TANGLEWOOD LN,S18041993
1106 FOREST RIDGE DR,S18037726
1106 FOREST RIDGE DR,S18037726
1106 FOREST RIDGE DR,S18037726
4529 BETHANY DR,N18223805
701 BELT LINE RD,C18009547
4509 DANVILLE DR,N18223836
4517 DANVILLE DR,N18223840
4613 DANVILLE DR,N18223850
4613 DANVILLE DR,N18223850
1405 GLENVILLE DR,N18223919
1813 BURKE DR,N18222141
4610 ANCILLA DR,N18223697
4602 ANCILLA DR,N18223693
1921 BURKE DR,N18222144
3605 GLACIER LN,N18219002
4701 HUNTINGTON DR,S18042369
4721 HUNTINGTON DR,N18223900
1314 GLENVILLE DR,N18223914
1902 CURTIS DR,N18222145
1822 CURTIS DR,N18222337
4517 ANCILLA DR,N18223685
921 RICHARD DR,N18222679
925 RICHARD DR,N18222680
929 RICHARD DR,N18222681
1318 PECAN VALLEY DR,N18217170
1617 DAVIS BLVD,N18220987
2825 BELT LINE RD,C18010333
2813 SEMINARY CIR,N18218376
1008 SHADY LN,N18220875
1422 TANGLEWOOD LN,N18220899
1527 LAURA DR,N18213555
1505 RESISTOL RD,N18220845
1505 RESISTOL RD,N18220845
1509 RESISTOL RD,N18220847
1617 RESISTOL RD,N18216610
4606 COLGATE LN,S18042752
1606 JAMES DR,N18221015
4624 BETHANY DR,S18042352
1530 PARK AVE,N18221047
1505 INWOOD BLVD,N18220950
1505 INWOOD BLVD,N18220950
1501 INWOOD BLVD,N18220948
1013 SHADY LN,N18220878
1109 RICHARD DR,N18222690
1109 RICHARD DR,N18222688
108 N FOREST CREST DR,S18041335
4617 LAWLER RD,N18223956
4601 LAWLER RD,S18042381
4625 ANCILLA DR,N18223704
4701 ANCILLA DR,S18042330
411 KINGSBRIDGE CT,N18202694
3614 CLASSIC DR,N18218988
1613 JAMES DR,N18221017
308 N FOREST CREST DR,N18219009
311 ALTO DR,N18216595
1701 GLENVILLE DR,S18042374
1121 RICHARD DR,S18042035
1117 RICHARD DR,N18222692
235 ALTO DR,S18041027
211 ALTO DR,N18216597
637 FREEMAN DR,S18039463
3706 GOOSE CREEK PKWY,N18221558
410 S KIRBY ST,N18223601
1021 LAVON DR,C18010505
1021 LAVON DR,C18010505
605 HILLCREST DR,S18039999
4530 W BUCKINGHAM RD,C18010771
4570 W BUCKINGHAM RD,C18010770
2205 SHARI LN,N18217592
235 LOMA DR,S18041023
1617 FREMONT DR,N18216536
5709 HILTON HEAD DR,N18198446
2801 CLUB MEADOW DR,S18041916
241 E I30 FRWY,M18003637
241 E I30 FRWY,M18003397
241 E I30 FRWY,M18003737
241 E I30 FRWY,M18003486
1017 SEMINARY RIDGE,N18218322
1109 SEMINARY RIDGE,N18218331
1117 SEMINARY RIDGE,N18218335
1422 DAVIS BLVD,S18041718
1414 RESISTOL RD,N18220836
1014 CREST PARK DR,N18209505
3622 SUMMIT LN,N18202985
1109 TENSLEY DR,N18223465
1022 SEMINARY RIDGE,N18218324
1506 JAMES DR,S18041728
1422 JAMES DR,N18221000
1502 SEMINARY RIDGE,N18218356
1105 CHIMNEYROCK TRL,S18041217
1109 CHIMNEYROCK TRL,N18218133
1109 CHIMNEYROCK TRL,N18218133
1129 CHIMNEYROCK TRL,N18218141
1141 CHIMNEYROCK TRL,N18218147
3005 CLUB COUNTRY DR,N18218180
3005 CLUB COUNTRY DR,N18218180
2404 SCOTSWOOD DR,N18216888
3518 SUMMIT LN,S18041906
3518 SUMMIT LN,S18041906
4550 W BUCKINGHAM RD,C18010769
4550 W BUCKINGHAM RD,C18010769
4550 W BUCKINGHAM RD,C18010769
4550 W BUCKINGHAM RD,C18010769
114 RIDGEGATE DR,N18202927
114 RIDGEGATE DR,N18202927
3335 N GEORGE BUSH HWY,C18013523
3315 N GEORGE BUSH HWY,C18013150
3525 BOBBIE LN,N18222099
3525 BOBBIE LN,N18222103
3533 BOBBIE LN,S18041905
3537 BOBBIE LN,N18222102
3575 W WALNUT ST,C18010272
3575 W WALNUT ST,C18010272
508 W AVENUE D,C18010495
508 W AVENUE D,C18010495
4713 CORNELL DR,N18225495
4518 HUNTINGTON DR,N18223875
4622 HUNTINGTON DR,N18223888
4617 FORDHAM DR,N18223781
1610 SURREY CT,N18218026
1712 SURREY CT,N18218035
4709 FORDHAM DR,N18223793
4718 CONCORD DR,S18042343
121 COMMERCIAL ST,C18013206
121 COMMERCIAL ST,C18013206
201 LIPSCOMB ST,S18043611
501 CLARK ST,C18010499
3617 CRESTVIEW DR,N18222109
4609 HUNTINGTON DR,S18042367
4609 HUNTINGTON DR,S18042273
4609 HUNTINGTON DR,S18042273
4710 CONCORD DR,N18223754
4710 CONCORD DR,N18223754
4706 CONCORD DR,N18223752
4624 CONCORD DR,N18223746
3613 EDGEWOOD DR,S18041332
